id,pedido_id,produto_id,quantidade,preco_praticado,desconto_aplicado,valor_item
1,1,133,4,2290.86,0.19,7422.386400000001
2,1,64,3,723.06,0.21,1713.6522
3,1,7,1,353.01,0.29,250.63709999999998
4,2,200,2,2504.74,0.0,5009.48
5,2,88,5,2829.32,0.03,13722.202
6,3,24,3,2912.52,0.01,8650.1844
7,3,120,2,734.95,0.0,1469.9
8,3,183,5,325.02,0.04,1560.0959999999998
9,4,95,2,2921.91,0.01,5785.3818
10,4,139,2,645.31,0.13,1122.8393999999998
11,5,49,3,2096.55,0.0,6289.650000000001
12,6,145,3,2924.2,0.11,7807.613999999999
13,7,11,4,1378.3,0.05,5237.54
14,8,24,2,2941.94,0.0,5883.88
15,9,113,3,329.76,0.25,741.96
16,9,114,1,661.08,0.25,495.81000000000006
17,10,178,2,1736.27,0.03,3368.3638
18,11,115,5,2757.5,0.2,11030.0
19,12,20,5,2278.64,0.02,11165.336
20,13,107,1,2218.73,0.24,1686.2348
21,13,176,4,607.04,0.21,1918.2464
22,14,88,4,2158.45,0.26,6389.012
23,14,77,1,1331.46,0.15,1131.741
24,14,156,1,44.98,0.23,34.6346
25,15,128,4,1311.94,0.02,5142.8048
26,15,7,4,482.28,0.03,1871.2463999999998
27,15,160,5,2908.77,0.02,14252.973
28,16,91,1,2448.24,0.07,2276.8632
29,16,71,2,486.78,0.3,681.492
30,16,172,3,2375.05,0.13,6198.8805
31,16,94,3,2326.28,0.12,6141.3792
32,16,137,3,107.74,0.26,239.1828
33,17,122,5,763.65,0.01,3780.0675
34,17,63,3,2475.97,0.17,6165.1653
35,17,54,4,2849.67,0.14,9802.8648
36,18,59,1,613.31,0.05,582.6444999999999
37,19,164,5,1569.97,0.28,5651.892
38,19,144,3,446.65,0.28,964.7639999999998
39,20,70,5,1176.79,0.0,5883.95
40,20,186,1,2165.33,0.0,2165.33
41,21,9,2,2623.98,0.02,5143.0008
42,22,92,5,2025.73,0.01,10027.3635
43,22,182,4,984.75,0.05,3742.0499999999997
44,23,52,1,1116.78,0.05,1060.941
45,23,19,3,929.91,0.01,2761.8327
46,24,84,4,1671.03,0.19,5414.1372
47,24,176,3,637.78,0.17,1588.0721999999998
48,25,158,1,1837.58,0.04,1764.0767999999998
49,25,195,4,96.27,0.25,288.81
50,25,118,5,2517.24,0.16,10572.408
51,26,45,5,467.58,0.05,2221.005
52,26,79,2,361.44,0.02,708.4224
53,26,114,3,863.81,0.02,2539.6014
54,26,50,4,2851.81,0.04,10950.9504
55,26,96,2,1536.74,0.01,3042.7452
56,27,77,2,1550.76,0.01,3070.5048
57,27,47,2,1515.99,0.02,2971.3404
58,27,174,4,1160.4,0.03,4502.352
59,27,32,2,355.06,0.04,681.7152
60,28,34,2,1365.1,0.0,2730.2
61,28,9,1,2623.98,0.02,2571.5004
62,29,130,2,589.92,0.09,1073.6544
63,29,65,4,1956.35,0.27,5712.5419999999995
64,30,39,1,175.47,0.03,170.20589999999999
65,30,162,3,233.7,0.05,666.0449999999998
66,31,132,2,3168.67,0.01,6273.9666
67,31,143,4,1458.36,0.01,5775.1056
68,31,21,1,1118.83,0.03,1085.2650999999998
69,31,124,5,2088.87,0.05,9922.132499999998
70,32,185,4,932.67,0.03,3618.7596
71,32,99,2,3046.58,0.05,5788.5019999999995
72,32,169,2,351.51,0.03,681.9294
73,33,198,2,1461.2,0.05,2776.2799999999997
74,33,14,2,2357.61,0.02,4620.9156
75,33,105,3,954.26,0.02,2805.5244
76,34,136,2,1283.77,0.11,2285.1106
77,34,50,1,2495.34,0.16,2096.0856
78,35,94,3,2537.76,0.04,7308.7488
79,36,76,5,649.52,0.01,3215.124
80,36,151,4,693.88,0.04,2664.4991999999997
81,36,8,2,1199.73,0.01,2375.4654
82,36,34,4,1337.8,0.02,5244.1759999999995
83,37,166,3,1359.63,0.01,4038.1011000000003
84,37,4,3,3398.15,0.02,9990.561
85,37,56,2,2110.98,0.05,4010.8619999999996
86,38,108,1,1070.35,0.04,1027.5359999999998
87,38,97,4,1004.96,0.05,3818.848
88,38,137,5,141.22,0.03,684.917
89,38,1,2,1604.15,0.01,3176.217
90,39,177,2,527.58,0.08,970.7472000000001
91,39,170,4,957.26,0.29,2718.6184
92,39,145,2,2595.64,0.21,4101.1112
93,39,193,4,1598.07,0.02,6264.434399999999
94,39,113,5,338.55,0.23,1303.4175
95,40,64,5,677.3,0.26,2506.0099999999998
96,40,32,2,273.69,0.26,405.0612
97,40,162,2,204.18,0.17,338.9388
98,40,8,5,969.48,0.2,3877.92
99,41,157,1,666.98,0.03,646.9706
100,41,40,4,454.44,0.0,1817.76
101,42,145,2,3252.76,0.01,6440.464800000001
102,42,88,1,2829.32,0.03,2744.4404
103,43,150,3,2522.34,0.05,7188.669
104,43,184,2,2808.19,0.12,4942.414400000001
105,43,25,2,1024.33,0.19,1659.4146
106,44,17,4,3270.84,0.01,12952.5264
107,44,115,1,3309.0,0.04,3176.64
